src,dest,connectionCount
41.177.98.220,244.3.31.98,2
90.218.155.193,41.177.98.176,6
244.3.142.57,41.177.98.220,1
181.127.47.67,244.3.61.151,1
72.208.154.177,244.3.61.244,1
41.177.241.120,244.3.210.197,4
15.186.51.17,41.177.98.79,1
41.177.3.57,244.3.39.203,2
41.177.3.224,41.177.117.153,2
68.157.168.204,41.177.26.176,4
253.37.253.139,41.177.230.224,1
244.3.31.241,244.3.41.84,2
77.64.39.119,41.177.26.176,1
41.177.180.176,41.177.230.197,1
33.157.202.242,244.3.61.39,1
41.177.180.176,244.3.41.152,3
246.121.210.224,244.3.210.197,1
244.3.22.180,244.3.41.84,1
210.94.68.176,244.3.61.225,1
244.3.220.197,41.177.98.220,1
79.108.231.213,41.177.26.176,1
244.3.154.100,244.3.41.84,1
68.159.161.120,41.177.26.176,1
41.177.176.106,244.3.160.239,13
244.3.160.239,188.68.214.181,13
244.3.93.241,41.177.241.253,1
41.106.90.203,244.3.210.197,29
244.3.41.100,244.3.39.203,1
41.177.3.224,41.177.230.150,1
41.177.56.138,244.3.41.84,1
41.177.3.224,41.177.3.184,1
244.3.153.103,244.3.176.224,1
41.177.57.211,244.3.210.197,8
18.198.66.77,244.3.210.197,6
41.177.34.163,244.3.160.239,120
244.3.41.252,41.177.26.205,2
244.3.79.219,41.177.98.220,1
203.67.168.48,41.177.98.143,1
244.3.117.205,244.3.41.84,1
244.3.210.197,41.177.244.177,1
253.37.253.121,253.160.108.127,3
41.177.4.98,244.3.153.142,1
244.3.218.224,244.3.41.84,1
77.197.128.167,244.3.210.197,1
77.197.217.218,41.177.26.176,23
77.197.210.48,41.177.26.91,4
77.197.217.152,41.177.26.176,22
77.197.210.80,41.177.26.15,1
77.197.210.2,41.177.26.176,25
145.95.41.251,145.95.81.118,1
244.3.93.239,41.177.98.142,1
77.197.210.224,41.177.26.15,3
77.197.128.209,41.177.26.15,3
41.77.105.0,244.3.210.197,7
77.197.210.186,41.177.26.15,3
77.197.128.186,41.177.26.15,3
77.197.210.186,41.177.26.91,3
77.197.210.159,41.177.26.176,20
77.197.128.225,41.177.26.15,2
77.197.217.152,41.177.26.91,1
77.197.128.153,41.177.26.91,1
241.204.15.82,41.177.98.127,3
77.197.210.82,41.177.26.15,3
77.197.210.71,41.177.26.15,1
46.194.188.194,244.3.210.197,3
77.197.210.67,41.177.26.91,2
71.241.210.40,244.3.31.68,1
68.157.168.197,41.177.26.176,4
77.197.210.128,41.177.26.15,2
244.160.18.105,41.177.98.143,1
244.3.79.15,244.3.41.84,1
193.253.223.2,244.3.210.197,1
41.177.84.66,244.3.31.168,6
41.177.142.41,244.3.41.84,1
176.48.132.197,41.177.3.177,1
77.197.128.12,41.177.26.91,2
253.37.253.43,253.213.108.203,1
244.3.160.239,188.68.214.108,22
41.177.110.130,41.177.98.220,1
198.177.110.202,41.177.26.22,3
244.3.210.197,203.103.84.181,1
145.67.223.161,244.3.160.239,5
41.177.230.224,244.3.31.124,1
47.167.160.79,41.177.98.98,1
43.106.84.231,244.3.160.239,33
41.177.3.215,41.177.3.203,2
77.197.128.251,41.177.26.46,2
41.177.105.80,244.3.41.84,1
253.37.253.43,253.176.160.161,1
41.177.230.224,41.177.26.176,1
41.177.230.224,41.177.26.84,1
41.177.230.224,41.177.26.13,1
41.177.230.224,41.177.26.22,1
68.157.145.13,244.3.210.255,1
128.119.167.108,41.177.26.15,1
244.3.153.156,41.177.116.45,2
244.3.153.41,41.177.3.117,1
68.33.186.67,244.3.160.239,4
67.122.211.41,244.3.39.224,1
67.122.211.41,244.3.39.95,1
67.122.211.41,244.3.39.102,1
92.244.186.20,41.177.26.15,3
85.108.117.193,41.177.26.176,2
41.177.22.92,41.177.98.220,2
244.3.224.188,244.3.210.197,2
253.37.253.43,253.142.253.106,1
184.4.77.132,41.177.98.98,1
41.177.202.141,41.177.98.220,1
244.3.210.197,128.75.71.215,6
244.3.47.239,41.177.98.121,2
254.214.213.72,41.177.98.127,5
244.3.153.239,244.3.176.118,1
197.45.108.197,41.177.98.127,1
41.177.230.224,244.3.160.254,1
244.3.90.142,41.177.98.220,2
71.193.83.117,41.177.26.176,1
253.37.253.43,253.160.108.253,39
145.95.31.210,244.3.160.239,10
41.122.117.224,41.177.26.176,1
244.3.93.229,41.177.98.220,1
77.197.127.51,41.177.26.176,2
15.186.164.176,41.177.26.46,1
26.47.18.84,244.3.31.124,1
41.177.230.224,41.177.98.142,1
41.177.230.224,41.177.98.176,1
177.213.85.47,41.177.98.176,2
253.37.253.43,253.142.108.12,2
41.177.92.145,41.177.98.220,1
244.3.90.143,41.177.98.220,1
77.197.106.40,244.3.210.197,3
244.3.90.185,41.177.98.176,4
197.33.223.168,244.3.210.197,1
244.3.210.197,225.79.185.181,2
244.3.41.252,41.177.3.224,4
253.37.253.43,253.142.108.93,4
194.168.61.239,41.177.98.127,2
41.177.244.77,244.3.210.90,4
41.84.117.71,244.3.210.197,1
244.3.153.22,244.3.176.224,1
197.33.223.253,244.3.210.197,1
244.3.41.252,41.177.3.203,4
197.33.149.117,244.3.210.197,1
253.37.253.43,253.116.108.124,1
151.77.217.75,244.3.160.239,19
197.33.223.117,244.3.210.197,1
244.3.160.239,188.68.193.91,40
197.33.149.144,244.3.210.197,1
41.177.3.215,41.177.3.224,2
168.84.123.138,41.177.26.91,2
197.33.149.122,244.3.210.197,1
41.177.180.176,41.177.3.215,2
168.72.165.153,41.177.26.176,8
239.152.167.98,41.177.26.176,1
244.3.153.33,244.3.176.224,1
244.3.34.194,41.177.98.145,1
244.3.160.239,40.248.176.156,134
15.68.47.117,244.3.210.197,1
215.160.91.82,244.3.210.197,3
244.3.160.248,41.177.26.211,2
68.164.185.120,244.3.210.197,4
194.168.141.39,41.177.98.127,3
244.3.160.239,244.176.48.167,21
41.177.225.164,41.177.98.220,1
77.197.128.47,41.177.26.176,33
194.31.194.116,41.177.98.143,1
41.177.3.215,244.3.210.95,2
77.197.128.72,41.177.26.176,13
244.3.31.24,244.3.153.142,1
244.3.160.239,188.68.211.24,2
77.197.210.164,41.177.26.15,1
77.197.210.241,41.177.26.91,2
77.197.128.118,41.177.26.176,69
77.197.128.223,41.177.26.176,62
198.98.203.67,41.177.98.176,1
77.197.210.103,41.177.26.15,2
90.218.193.20,244.3.160.239,34
77.197.210.110,41.177.26.91,2
77.197.210.136,41.177.26.91,3
41.177.135.193,244.3.160.239,14
244.3.160.239,81.67.210.81,2
77.197.128.139,41.177.26.15,3
77.197.210.48,41.177.26.15,1
128.181.211.197,41.177.98.127,1
77.197.128.142,41.177.26.15,5
77.197.128.13,41.177.26.176,101
77.197.128.224,41.177.26.176,57
244.3.160.239,81.67.210.26,10
177.71.203.41,244.3.210.197,6
77.197.128.55,41.177.26.176,49
77.197.210.218,41.177.26.91,1
16.225.66.90,41.177.26.176,5
48.244.145.177,244.3.210.197,8
68.224.84.106,244.3.210.197,1
253.37.253.43,253.160.31.248,1
77.197.128.92,41.177.26.176,17
122.145.57.132,244.3.210.197,2
77.197.210.198,41.177.26.91,1
77.197.128.46,41.177.26.176,41
153.103.26.253,41.177.98.143,1
41.151.113.41,244.3.210.197,7
244.3.164.138,41.177.98.220,1
154.176.214.143,41.177.26.91,2
77.197.128.108,41.177.26.176,5
253.37.253.167,253.94.153.215,2
244.3.153.55,41.177.24.241,4
77.197.128.150,41.177.26.176,4
194.66.204.242,244.3.41.84,1
41.177.98.156,203.123.156.224,1
77.197.128.117,41.177.26.176,2
244.3.160.239,122.168.72.208,1
68.157.168.46,41.177.98.79,1
145.95.176.246,244.3.160.239,15
244.3.160.239,77.91.159.163,2
149.214.94.34,41.177.26.176,1
15.71.149.111,41.177.26.46,1
18.181.90.197,41.177.98.176,7
66.163.119.41,41.177.26.91,5
145.95.149.185,41.177.98.176,1
241.192.102.239,41.177.98.143,1
117.218.106.199,244.3.210.197,16
209.244.18.90,244.3.210.197,1
151.77.151.91,41.177.98.176,2
244.3.160.254,41.177.26.211,2
244.3.160.239,40.248.176.176,2
77.197.127.110,41.177.26.176,5
68.122.210.16,41.177.98.127,1
41.177.13.251,244.3.41.84,1
244.160.201.209,41.177.98.143,1
168.22.164.224,244.3.160.239,1
244.3.210.197,151.72.95.110,6
41.177.230.252,244.3.153.48,1
41.177.230.119,244.3.153.48,1
244.176.48.13,244.3.160.239,6
253.37.253.43,41.177.127.194,1
253.37.253.43,41.177.71.0,1
244.3.160.239,94.2.202.98,3
241.16.181.164,41.177.98.127,1
253.37.253.43,253.213.108.176,1
209.71.102.241,41.177.98.142,2
253.37.253.43,253.213.108.31,1
244.239.193.215,41.177.98.143,1
253.37.253.43,253.116.185.77,1
244.3.210.197,40.193.220.98,1
253.37.253.43,253.116.185.84,1
253.37.253.43,253.213.108.167,1
253.37.253.43,253.77.108.145,1
253.37.253.43,253.142.160.113,1
253.37.253.43,253.205.160.160,1
18.40.188.181,244.3.61.106,1
122.188.116.253,244.3.210.197,1
41.194.224.218,41.177.98.143,1
253.37.253.43,41.177.116.184,1
41.177.98.98,244.3.31.41,1
90.108.47.67,244.3.210.197,8
33.64.77.46,41.177.230.55,1
224.47.38.154,41.177.26.176,2
241.122.106.43,244.3.210.197,2
244.3.160.239,151.241.241.198,3
193.90.39.90,244.3.61.142,1
253.37.253.121,253.160.108.83,2
253.37.253.43,253.142.253.66,1
77.197.128.18,41.177.26.176,102
77.197.128.12,244.3.210.197,1
77.197.210.82,41.177.26.176,42
77.197.210.231,244.3.210.197,1
41.225.241.128,41.177.98.3,1
253.160.108.127,253.37.253.251,3
77.197.128.167,41.177.26.91,1
77.197.128.41,41.177.26.176,74
77.197.210.106,41.177.26.15,1
90.55.40.204,244.3.160.239,2
144.154.4.18,41.177.98.127,1
77.197.128.143,41.177.26.91,3
77.197.210.81,41.177.26.91,2
41.177.176.254,41.177.26.23,1
79.108.222.84,41.177.26.176,1
253.37.253.43,253.160.108.241,13
242.13.197.91,41.177.26.91,1
77.197.210.2,41.177.26.91,2
203.210.244.128,244.3.210.197,3
77.197.128.211,41.177.26.15,3
83.202.121.77,41.177.98.127,2
165.33.138.84,244.3.210.197,10
95.34.105.67,41.177.26.176,2
244.3.142.106,41.177.98.220,1
253.37.253.43,253.176.160.57,2
209.57.198.106,41.177.98.142,1
41.177.230.253,244.3.31.40,59
77.197.128.47,41.177.26.91,1
244.3.41.84,41.177.93.199,1
41.177.3.203,41.177.3.184,1
15.71.149.89,244.3.210.197,1
244.3.153.30,41.177.3.18,1
244.3.164.46,244.3.160.239,53
244.3.160.239,92.188.204.180,24
41.13.93.230,244.3.210.197,6
223.198.244.193,41.177.26.46,1
253.37.253.43,253.160.128.224,1
225.176.139.18,244.3.210.197,1
244.3.177.130,41.177.98.176,3
241.82.68.241,41.177.98.176,5
223.75.41.154,244.3.41.120,1
244.56.202.204,41.177.98.143,1
204.41.197.117,41.177.26.176,3
77.197.127.164,41.177.26.176,1
224.47.199.136,41.177.98.143,1
90.117.252.64,41.177.98.142,1
244.3.79.163,41.177.98.220,1
244.3.153.77,41.177.24.241,2
151.77.205.22,41.177.98.176,11
244.3.160.239,81.67.217.159,1
244.3.167.79,244.3.41.84,1
244.3.92.253,244.3.41.84,1
41.177.142.84,244.3.41.84,1
244.3.161.161,244.3.41.84,1
41.177.43.106,244.3.41.84,1
244.3.41.161,244.3.41.84,1
47.167.92.164,244.3.41.84,1
41.177.150.71,244.3.41.84,1
41.177.136.15,244.3.41.84,1
41.177.159.241,244.3.41.84,1
41.177.93.235,244.3.41.84,1
41.177.103.151,244.3.41.84,1
244.3.241.123,244.3.41.84,1
244.3.34.145,244.3.41.84,1
244.3.34.121,244.3.41.84,1
244.3.157.123,244.3.41.84,1
244.3.235.84,244.3.41.84,1
41.197.164.55,244.3.41.84,1
41.177.93.34,244.3.41.84,1
41.177.142.167,244.3.41.84,1
41.177.37.102,244.3.41.84,1
244.3.77.160,244.3.41.84,1
41.177.90.57,244.3.41.84,1
41.177.100.56,244.3.41.84,1
41.177.64.0,244.3.41.84,1
41.177.13.193,244.3.41.84,1
47.167.26.34,244.3.41.84,1
41.177.242.231,244.3.41.84,1
41.177.142.91,244.3.41.84,1
244.3.77.218,244.3.41.84,1
41.177.43.119,244.3.41.84,1
41.177.181.38,244.3.41.84,1
41.177.142.244,244.3.41.84,1
145.95.75.108,244.3.41.84,1
41.177.181.145,244.3.41.84,1
41.177.93.23,244.3.41.84,1
41.197.164.47,244.3.41.84,1
41.177.161.111,244.3.41.84,1
244.3.20.25,244.3.41.84,1
244.3.149.55,244.3.41.84,1
41.177.142.26,244.3.41.84,1
41.177.181.208,244.3.41.84,1
47.167.92.130,244.3.41.84,1
41.177.72.67,244.3.41.84,1
47.124.77.164,244.3.41.84,1
41.177.242.152,244.3.41.84,1
244.3.41.84,224.143.111.111,1
244.3.41.84,94.145.155.113,1
244.3.41.84,194.66.13.193,1
244.3.41.84,203.22.57.0,1
244.3.41.84,203.22.116.244,1
244.3.41.84,194.66.143.80,1
244.3.41.84,194.66.204.159,1
244.3.41.84,194.66.204.151,1
244.3.41.84,194.66.108.214,1
244.3.41.84,194.66.204.46,1
244.3.41.84,194.66.204.4,1
244.3.41.84,244.3.106.12,1
244.3.41.84,194.66.220.177,1
244.3.47.24,244.3.41.84,1
244.3.47.26,244.3.41.84,1
15.225.98.142,41.177.98.142,1
48.90.252.46,244.3.210.197,6
253.37.253.43,253.213.108.230,1
244.3.153.22,41.177.24.241,1
215.108.241.38,41.177.155.193,1
151.43.219.4,41.177.26.91,1
244.3.185.120,41.177.98.197,1
197.193.211.106,41.177.98.127,2
122.155.141.12,244.3.160.239,10
41.177.211.185,244.3.160.239,128
77.197.128.153,244.3.210.197,1
77.197.210.128,244.3.210.197,2
77.197.210.202,41.177.26.91,1
77.197.217.218,41.177.26.91,1
77.197.217.152,41.177.26.15,1
100.176.176.67,41.177.26.91,1
79.46.215.185,244.3.210.90,1
41.177.192.117,244.3.160.239,44
244.3.160.239,41.177.254.197,42
244.3.153.13,41.177.116.45,6
77.197.128.82,41.177.26.91,4
68.157.168.203,41.177.26.176,2
244.3.142.41,41.177.98.220,1
244.3.41.13,145.95.48.71,1
106.145.117.39,244.3.61.142,1
77.197.210.159,41.177.26.15,1
244.3.153.77,244.3.176.118,1
41.177.98.143,241.75.202.251,1
82.193.18.57,244.3.210.197,2
181.89.145.48,244.3.176.210,1
239.152.13.68,41.177.26.176,1
18.181.168.132,244.3.210.197,16
77.197.128.84,41.177.26.176,28
244.3.185.176,41.177.98.220,1
194.252.160.64,41.177.98.127,1
165.22.155.38,41.177.26.176,1
145.188.2.106,41.177.26.176,1
41.177.64.33,244.3.41.84,1
244.3.185.40,41.177.98.176,4
244.3.199.165,41.177.98.142,7
244.3.34.248,244.3.31.124,1
244.56.202.67,41.177.98.143,1
203.25.39.39,41.177.98.143,1
253.37.253.43,253.160.211.176,2
244.3.34.194,41.177.26.210,1
246.142.244.205,246.142.244.138,1
244.3.153.40,41.177.3.117,3
253.37.253.43,253.116.23.165,1
47.241.184.51,41.177.26.91,5
117.255.177.145,244.3.210.197,2
244.3.153.33,41.177.4.167,1
15.22.79.239,41.177.26.176,1
68.64.225.84,244.3.210.197,3
151.77.12.31,41.177.98.176,6
244.3.185.121,41.177.98.220,1
77.197.127.128,41.177.26.176,4
154.130.246.40,41.177.26.176,2
77.194.20.202,244.3.210.197,14
41.177.98.98,244.3.31.43,1
210.176.151.45,41.177.26.15,2
85.186.156.144,244.3.210.197,6
77.197.128.117,41.177.26.91,2
244.3.160.80,244.3.153.48,2
203.22.57.22,244.3.41.84,1
244.145.41.106,41.177.98.143,1
67.91.20.26,244.3.210.255,1
67.91.20.26,244.3.210.197,1
67.91.20.26,244.3.210.230,1
67.91.20.26,244.3.210.98,1
67.91.20.26,244.3.210.39,2
67.91.20.26,244.3.210.64,1
67.91.20.26,244.3.210.108,1
67.91.20.26,244.3.210.31,1
41.177.211.208,41.177.98.220,1
67.91.20.26,244.3.210.153,1
67.91.20.26,244.3.210.224,2
67.91.20.26,244.3.210.94,1
67.91.20.26,244.3.210.203,1
67.91.20.26,244.3.210.144,1
67.91.20.26,244.3.210.184,1
67.91.20.26,244.3.210.41,1
67.91.20.26,244.3.210.43,1
67.91.20.26,244.3.210.145,1
67.91.20.26,244.3.210.130,1
67.91.20.26,244.3.210.61,1
18.91.139.163,244.3.160.239,2
67.91.20.26,244.3.210.117,2
244.3.160.239,244.239.197.117,2
67.91.20.26,244.3.210.77,1
67.91.20.26,244.3.210.181,1
67.91.20.26,244.3.210.71,1
67.91.20.26,244.3.210.103,1
67.91.20.26,244.3.210.81,1
67.91.20.26,244.3.210.26,1
67.91.20.26,244.3.210.231,1
67.91.20.26,244.3.210.111,1
67.91.20.26,244.3.210.241,1
67.91.20.26,244.3.210.40,1
41.177.241.34,40.193.71.79,1
145.202.231.208,244.3.210.197,1
151.77.108.208,244.3.160.239,5
90.218.72.90,41.177.98.176,1
94.224.184.106,41.177.26.13,9
244.3.210.203,244.3.210.39,1
244.3.153.197,244.3.41.152,1
67.91.20.26,244.3.40.83,1
244.3.210.203,244.3.210.153,1
67.91.20.26,244.3.40.80,1
67.91.20.26,244.3.40.176,1
67.91.20.26,244.3.40.198,1
77.197.128.108,244.3.210.197,2
244.3.3.249,41.177.98.220,1
244.3.41.84,194.66.204.111,1
77.197.210.247,41.177.26.15,1
244.3.41.84,244.3.34.239,1
244.3.151.202,244.3.41.84,1
244.3.77.194,244.3.41.84,1
184.75.94.223,244.3.41.84,1
77.197.128.225,41.177.26.176,31
18.239.218.37,244.3.210.197,2
244.3.160.239,30.222.71.108,62
77.197.210.241,41.177.26.15,2
77.197.128.127,41.177.26.15,4
66.218.67.128,244.3.31.40,1
77.197.210.80,41.177.26.91,1
77.197.217.218,41.177.26.15,2
253.37.253.251,253.160.108.83,2
244.3.93.242,41.177.98.220,1
66.116.46.204,41.177.98.142,1
77.197.217.224,41.177.26.15,2
77.197.128.55,41.177.26.15,5
244.3.210.197,68.83.160.23,1
77.197.217.224,41.177.26.91,1
168.82.241.192,41.177.26.176,1
184.4.145.77,244.3.41.84,1
194.120.155.106,41.177.98.143,1
244.3.185.254,41.177.98.220,1
15.38.91.90,41.177.26.176,1
41.177.197.141,41.177.197.48,1
244.3.153.102,244.3.160.80,21
244.3.153.102,244.3.160.128,1
41.177.159.151,41.177.26.91,1
67.202.142.239,244.3.31.41,1
244.3.31.156,244.3.41.84,1
40.193.23.224,41.177.98.176,12
91.123.197.210,244.3.31.244,1
41.177.241.23,40.193.71.79,1
79.242.145.77,244.3.41.71,1
41.177.244.39,244.3.210.197,1
244.3.210.98,85.210.77.218,1
168.176.95.55,41.177.98.142,1
244.3.210.98,186.77.47.194,1
244.3.210.98,122.136.142.116,1
244.3.3.145,244.3.160.239,35
30.251.75.92,244.3.61.225,1
244.3.210.98,77.197.64.211,2
79.108.231.127,41.177.26.176,1
41.177.93.93,244.3.41.84,1
151.77.39.25,244.3.160.239,5
244.3.160.239,246.220.26.95,5
77.197.13.80,41.177.26.176,4
244.3.153.33,244.3.31.156,1
225.176.204.185,41.177.26.13,1
253.37.253.43,253.142.253.218,1
177.202.57.176,244.3.210.197,7
41.177.92.61,41.177.98.176,5
77.197.106.167,244.3.210.197,1
90.150.181.71,244.3.210.197,6
193.211.164.18,244.3.61.225,1
253.37.253.43,253.180.253.254,1
16.119.77.194,41.177.26.15,1
253.37.253.43,253.98.22.203,1
16.181.176.168,244.3.31.26,1
106.37.77.3,41.177.26.46,1
215.13.66.186,244.3.160.239,1
244.3.160.239,244.193.156.82,1
41.194.210.239,41.177.98.143,1
41.177.132.22,244.3.160.239,14
186.45.149.203,41.177.98.143,1
244.3.41.84,41.177.93.39,1
253.37.253.43,244.3.197.47,1
48.176.68.231,41.177.26.15,1
249.18.39.225,41.177.26.176,7
244.3.185.118,41.177.98.220,1
241.203.149.40,41.177.26.15,1
244.3.253.224,244.3.160.239,29
244.3.160.239,197.154.128.255,1
145.219.142.106,41.177.26.176,7
244.3.41.84,244.3.41.47,1
77.197.210.160,41.177.26.15,2
244.3.34.223,244.3.41.84,1
77.197.210.152,41.177.26.15,2
77.197.128.193,41.177.26.176,18
244.3.2.111,244.3.210.197,1
41.177.24.154,244.3.31.46,1
77.197.210.111,41.177.26.15,1
77.197.128.165,41.177.26.15,4
77.197.210.231,41.177.26.15,1
77.197.210.37,41.177.26.91,1
244.3.185.176,41.177.98.176,1
77.197.210.117,41.177.26.15,1
47.3.161.202,244.3.41.84,1
77.197.210.117,41.177.26.91,2
254.194.155.203,41.177.26.46,1
77.197.128.251,41.177.26.15,1
77.197.128.55,41.177.26.91,1
244.3.77.193,244.3.41.84,1
142.117.244.30,41.177.26.176,1
252.66.75.111,244.3.210.197,3
68.157.168.135,244.3.210.197,1
18.22.43.17,41.177.26.15,6
26.39.254.244,41.177.26.91,2
41.177.34.163,41.177.98.176,6
184.75.94.39,244.3.41.84,1
244.3.153.106,41.177.202.249,1
239.152.156.75,41.177.26.176,1
